               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.095194,            0.019331,            0.026457,            0.098147,             0.39855,             0.11943,            0.041978,            0.054341,           0.0095792,            0.019693,            0.070219,            0.003309,            0.003309
                   1,            0.068845,            0.023557,            0.023547,             0.21074,             0.51553,             0.25896,            0.094853,            0.045006,           0.0083406,            0.017578,            0.040153,           0.0065766,           0.0065766
                   2,            0.059665,            0.022583,            0.020362,              0.8201,              0.2381,             0.41264,             0.20618,            0.042529,           0.0075015,            0.013147,            0.010021,           0.0097782,           0.0097782
                   3,             0.05527,            0.022455,             0.01777,             0.72206,             0.45144,             0.54188,             0.29739,            0.038354,           0.0068523,            0.011331,            0.009703,            0.009703,            0.009703
                   4,            0.052492,            0.021511,            0.015562,              0.7149,             0.47723,             0.61829,             0.27355,            0.038572,           0.0064663,           0.0077956,            0.009703,            0.009703,            0.009703
                   5,            0.049881,            0.021324,            0.014345,             0.74296,             0.49937,             0.63743,             0.33602,            0.035884,           0.0064191,           0.0077679,            0.009604,            0.009604,            0.009604
                   6,            0.047897,            0.020675,            0.014565,             0.76382,             0.67099,             0.75705,             0.41113,             0.03479,           0.0064377,           0.0054971,            0.009505,            0.009505,            0.009505
                   7,            0.045233,            0.020456,            0.013304,             0.67084,             0.69857,             0.74853,             0.40517,            0.032077,           0.0066764,            0.004697,            0.009406,            0.009406,            0.009406
                   8,            0.045125,            0.020911,            0.013005,             0.66148,             0.54244,             0.67476,             0.38323,            0.033239,           0.0068548,           0.0056942,            0.009307,            0.009307,            0.009307
                   9,             0.04322,            0.020463,            0.012663,             0.68994,             0.54451,             0.64554,              0.3523,            0.031803,           0.0071219,           0.0044121,            0.009208,            0.009208,            0.009208
                  10,            0.042581,             0.02084,             0.01171,             0.70306,             0.78097,             0.77514,             0.42465,            0.030998,            0.006602,            0.005255,            0.009109,            0.009109,            0.009109
                  11,            0.042894,            0.020815,            0.012668,             0.91552,             0.62693,             0.77704,             0.41779,            0.029204,           0.0063286,           0.0069024,             0.00901,             0.00901,             0.00901
                  12,            0.042153,            0.020545,            0.011064,              0.6907,             0.74868,             0.70481,             0.39165,            0.030188,           0.0067329,           0.0062197,            0.008911,            0.008911,            0.008911
                  13,            0.042117,            0.019945,            0.010169,             0.69892,             0.77433,             0.77666,             0.40607,            0.027916,           0.0066865,             0.00627,            0.008812,            0.008812,            0.008812
                  14,            0.040832,            0.019135,            0.011949,             0.84805,             0.73292,              0.8042,             0.39016,            0.030346,           0.0065592,           0.0037776,            0.008713,            0.008713,            0.008713
                  15,            0.039931,            0.019789,            0.010951,             0.82025,             0.64182,             0.76316,             0.38424,            0.031913,           0.0065835,           0.0039536,            0.008614,            0.008614,            0.008614
                  16,            0.039052,            0.019072,           0.0094142,             0.77931,             0.72881,             0.78523,             0.45973,            0.029946,           0.0067605,             0.00359,            0.008515,            0.008515,            0.008515
                  17,             0.03872,            0.019634,             0.01006,             0.77432,             0.78028,             0.82426,             0.45031,            0.028156,           0.0064371,            0.003792,            0.008416,            0.008416,            0.008416
                  18,            0.038385,            0.018722,             0.01018,             0.87475,             0.61387,             0.76927,             0.40046,            0.030464,           0.0062564,           0.0059554,            0.008317,            0.008317,            0.008317
                  19,            0.038276,            0.019466,           0.0094369,             0.78351,             0.69078,             0.77672,             0.44991,            0.029082,           0.0068564,           0.0045947,            0.008218,            0.008218,            0.008218
                  20,             0.03747,            0.019567,           0.0094741,             0.83349,             0.58799,             0.74396,             0.39633,            0.028939,           0.0067286,           0.0053017,            0.008119,            0.008119,            0.008119
                  21,             0.03657,            0.018586,           0.0095839,             0.77119,              0.6118,             0.76079,             0.41642,            0.027675,           0.0064059,            0.005609,             0.00802,             0.00802,             0.00802
                  22,            0.037474,            0.019503,            0.010079,             0.87004,             0.75214,             0.83483,             0.44558,            0.027202,           0.0064701,           0.0051271,            0.007921,            0.007921,            0.007921
                  23,            0.036141,             0.01805,           0.0089674,             0.83624,             0.73418,             0.82643,             0.43821,               0.028,           0.0061854,           0.0034012,            0.007822,            0.007822,            0.007822
                  24,            0.036386,            0.018461,           0.0084306,             0.93523,             0.68116,             0.81534,             0.49356,             0.02711,           0.0063465,           0.0026184,            0.007723,            0.007723,            0.007723
